representation,rep_params,metric,K,micro_Precision@K,micro_Recall@K,micro_MAP@K,micro_nDCG@K,macro_Precision@K,macro_Recall@K,macro_MAP@K,macro_nDCG@K,micro_MAP@K_CI_low,micro_MAP@K_CI_high
FeatMorganBit,"r=1,b=1024",OnBit,5,0.2607327870396534,0.0024298084300330472,0.21995227779347584,0.1392943038958205,0.5264764013242831,0.0031657221420070478,0.44867915654860535,0.29876209068002985,0.21320011145646914,0.22650498414492484
FeatMorganBit,"r=1,b=1024",Kulczynski,5,0.26067627390034853,0.0024283725066364353,0.2198819503312298,0.139032769198996,0.5327184416719155,0.003194069942242068,0.45358798494820934,0.3009575157458017,0.21368672883111992,0.2265360663715425
FeatMorganBit,"r=1,b=1024",McConnaughey,5,0.26067627390034853,0.0024283725066364353,0.2198819503312298,0.139032769198996,0.5327184416719155,0.003194069942242068,0.45358798494820934,0.3009575157458017,0.21368672883111992,0.2265360663715425
FeatMorganBit,"r=1,b=4096",Kulczynski,5,0.2611660544409909,0.0025026433913458413,0.22033421242661141,0.1385209890775623,0.5309560405846353,0.0032397875239029423,0.45191124098748253,0.2986529087802042,0.2144254968446831,0.2264992307933817
FeatMorganBit,"r=1,b=4096",McConnaughey,5,0.2611660544409909,0.0025026433913458413,0.22033421242661141,0.1385209890775623,0.5309560405846353,0.0032397875239029423,0.45191124098748253,0.2986529087802042,0.2144254968446831,0.2264992307933817
MorganBit,"r=1,b=4096",Russel,5,0.24860129980220397,0.002330236681719881,0.21049810053059556,0.13629016230569346,0.5065738596492969,0.0030483392560443244,0.43092912953282403,0.2959440424271739,0.2047130152899438,0.21716641549715868
FeatMorganBit,"r=1,b=2048",BraunBlanquet,5,0.25634359988697375,0.002447418810182539,0.21525666384100972,0.13619333745002846,0.5213981808130826,0.0031831071176160906,0.44212551935395467,0.29446823663217575,0.2093608167718439,0.22193822407459737
FeatMorganBit,"r=2,b=4096",Russel,5,0.24651031364792317,0.00228525638760629,0.2089085115067031,0.13605624874252586,0.5052734297180852,0.002916571185495815,0.43003803933011286,0.2925837897506866,0.2032814432827855,0.21598392122696303
MorganBit,"r=1,b=2048",Russel,5,0.24741452387680138,0.002338815421111966,0.20936846566826786,0.13583813227812291,0.5028303535939823,0.003033115281360842,0.4280411898490159,0.29439603017648214,0.20381119117139182,0.21549425842202757
FeatMorganBit,"r=1,b=4096",BraunBlanquet,5,0.2542714514457945,0.002366901693519851,0.21341778908040562,0.13516725267874982,0.5178850553007799,0.003061510277023961,0.4385888207571959,0.29229576191385476,0.20681845153998307,0.22008912985463563
FeatMorganBit,"r=1,b=1024",BraunBlanquet,5,0.2536498069134407,0.002401110163047456,0.2133976955197639,0.1348292317663827,0.512430666360021,0.0031138069807785597,0.4359162949215931,0.29032175443139846,0.20727720087281407,0.21985635066402937
FeatMorganBit,"r=2,b=2048",Russel,5,0.24440048978054066,0.0023361841606129603,0.20658566450032964,0.1345932094004381,0.5007914469019024,0.0028943532157102926,0.425904702966284,0.29044917034935985,0.20107493092838527,0.21388345342375437
MorganBit,"r=1,b=1024",Russel,5,0.24539888857492698,0.002290746629300414,0.20706853787950144,0.13379012761336714,0.5004809938125958,0.0029965222827514175,0.4252468364191693,0.2893914571618036,0.2013617233367869,0.2129521757558632
FeatMorganBit,"r=3,b=1024",Russel,5,0.23746821135914103,0.002197513758857792,0.20218690151015667,0.13306842813567216,0.490710316251539,0.0028196470110460176,0.420661231324881,0.2879496779044727,0.19677354321685345,0.20845675959938464
FeatMorganBit,"r=2,b=1024",Russel,5,0.23841009701422244,0.002167774649721467,0.20174076167153307,0.13134937007332378,0.48692617091194795,0.0027497150668448697,0.4163583697540689,0.2831071768232945,0.19595576669492323,0.20815553671784245
MorganBit,"r=3,b=1024",Russel,5,0.23226900254309127,0.0021652069215847072,0.19611848921540923,0.1303928748014265,0.4829178593917589,0.0028645859594512765,0.4097068044743741,0.2884094113871463,0.1914222394901259,0.20254151753477126
Descriptors,p=12,Mahalanobis,5,0.22597720636714705,0.00208500236951726,0.1851574518853411,0.11543863719689916,0.47597218886792525,0.002847721117353629,0.3936094136647559,0.255180735140955,0.1804109054660764,0.19033853725157768
Descriptors,p=12,Manhattan,5,0.20527455966845626,0.001864157995706227,0.16465950833568804,0.10152498152091853,0.44175520658789025,0.002772596385634556,0.36160752710269484,0.22615918663901485,0.15990307996609213,0.16951864933597063
Descriptors,p=12,Euclidean,5,0.20220401243289066,0.0018389175913067417,0.1618935041285988,0.09982468976778162,0.4354715991871511,0.002715302593948451,0.35429312946947666,0.2234179312106895,0.15777479513987,0.16675181312988607
Descriptors,p=12,Cosine,5,0.20154469247433363,0.0018143239970470442,0.1611412514520737,0.09801239592062114,0.43216481547730895,0.0025988259003186546,0.3526755699499645,0.22207063974675656,0.15704769865938276,0.16662224890898245
FeatMorganBit,"r=1,b=4096",Russel,5,0.1971178298954507,0.0017309741148821376,0.15860648017330697,0.09658830981067401,0.40632368632199667,0.0023228136673948446,0.32673468644915127,0.20490889088431868,0.1539849573011836,0.16461309299551036
FeatMorganBit,"r=1,b=2048",Russel,5,0.19775831214090614,0.0017531502092042693,0.1581697591912342,0.09526963952580494,0.41167096379418633,0.0023638634900952304,0.33066485358041176,0.20296762086662126,0.15369543734890584,0.16387888920285082
